original,translation
наказание назначено ниже низшего предела лишение свободы,primaryImprisonmentUnderLowerLimit
"общая сумма судебных штрафов, назначенных в соответствии со статьей 104.4 ук рф всего руб.",dismissalCourtFineSum
"общая сумма штрафов (из гр. 13 ""основное наказание"" ф. 10.3) всего руб.",primaryFineSum
"общая сумма штрафов (из гр. 28 ""дополнительное наказание"" ф. 10.3) всего руб.",addFineSum
срок лишения свободы до 1 года включительно,primaryImprisonment1
срок лишения свободы свыше 1 до 2 лет включительно,primaryImprisonment1_2
срок лишения свободы свыше 10 до 15 лет включительно,primaryImprisonment10_15
срок лишения свободы свыше 15 до 20 лет включительно,primaryImprisonment15_20
срок лишения свободы свыше 2 до 3 лет включительно,primaryImprisonment2_3
срок лишения свободы свыше 3 до 5 лет включительно,primaryImprisonment3_5
срок лишения свободы свыше 5 до 8 лет включительно,primaryImprisonment5_8
срок лишения свободы свыше 8 до 10 лет включительно,primaryImprisonment8_10
статьи ук рф,clause
судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) до 5 тыс.,dismissalCourtFine5
судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 100 тыс.,dismissalCourtFine100
судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.,dismissalCourtFine25_100
судебный штраф как мера уголовноправового характера в соответствии со статьей 104.4 ук рф (число лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.,dismissalCourtFine5_25
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.",primaryFine5
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн",primaryFine1M
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.",primaryFine100_300
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.",primaryFine25_100
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.",primaryFine300_500
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.",primaryFine5_25
"штраф (в руб.) (из гр. 12 ""основное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн",primaryFine500_1M
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) до 5 тыс.",addFine5
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 1 млн",addFine1M
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 100 тыс. до 300 тыс.",addFine100_300
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 25 тыс. до 100 тыс.",addFine25_100
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 300 тыс. до 500 тыс.",addFine300_500
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 5 тыс. до 25 тыс.",addFine5_25
"штраф (в руб.) (из гр. 26 ""дополнительное наказание"" ф. 10.3 число осужденных лиц по размеру штрафа) свыше 500 тыс. до 1 млн",addFine500_1M
